"Model","HR","CI_lower","CI_upper","P_value"
"Model 1",0.722640872560616,0.583346919881527,0.895196002408353,-2.97333142036218
"Model 2",0.736404485192274,0.58237465889546,0.931173012987577,-2.55555795944827
"Model 1 (6-year)",0.570966489424065,0.413670404059053,0.788073618142387,-3.40845581662447
"Model 2 (6-year)",0.618271007584182,0.443828432974383,0.86127658892287,-2.84295067695682
