"Age","Group","LifeExpectancy","Model"
62,"Others",18.7709027178461,"Model 2"
63,"High Mineral + Cluster 3",18.9225961313728,"Model 2"
63,"Others",18.2150764398259,"Model 2"
64,"High Mineral + Cluster 3",17.5926598363149,"Model 2"
64,"Others",17.1999398431984,"Model 2"
65,"High Mineral + Cluster 3",17.5116192175176,"Model 2"
65,"Others",16.6595829689726,"Model 2"
66,"High Mineral + Cluster 3",17.6526187109739,"Model 2"
66,"Others",16.0893680451695,"Model 2"
67,"High Mineral + Cluster 3",16.6807034043119,"Model 2"
67,"Others",15.6772817242985,"Model 2"
68,"High Mineral + Cluster 3",15.9881680169615,"Model 2"
68,"Others",14.5644081477442,"Model 2"
69,"High Mineral + Cluster 3",14.3006204126332,"Model 2"
69,"Others",14.3320352023935,"Model 2"
70,"High Mineral + Cluster 3",13.3414855326323,"Model 2"
70,"Others",13.2752788911304,"Model 2"
71,"High Mineral + Cluster 3",12.1641305034851,"Model 2"
71,"Others",12.8065264686959,"Model 2"
72,"High Mineral + Cluster 3",11.1136856030731,"Model 2"
72,"Others",11.9303651666993,"Model 2"
73,"High Mineral + Cluster 3",10.4514847858987,"Model 2"
73,"Others",13.2284522313736,"Model 2"
74,"High Mineral + Cluster 3",8.81957600666688,"Model 2"
74,"Others",13.1550514660064,"Model 2"
75,"High Mineral + Cluster 3",8.45723935873272,"Model 2"
75,"Others",12.8316117831903,"Model 2"
76,"High Mineral + Cluster 3",8.9339224479349,"Model 2"
76,"Others",11.9079924655804,"Model 2"
77,"High Mineral + Cluster 3",7.48143993228368,"Model 2"
77,"Others",10.9381778675876,"Model 2"
78,"High Mineral + Cluster 3",6.95571166483885,"Model 2"
78,"Others",10.6504353931584,"Model 2"
79,"High Mineral + Cluster 3",6.69430070050026,"Model 2"
79,"Others",9.40684447227802,"Model 2"
80,"High Mineral + Cluster 3",5.98801567982946,"Model 2"
80,"Others",8.67139538606298,"Model 2"
